ERYTHROMYCIN CAPSULES 250MG K,medicine_showdetail.php?sn=A000106100
NORSETOA CAPSULES 'CHINTENG',medicine_showdetail.php?sn=A025275100
SUPERZYME TABLETS 9,medicine_showdetail.php?sn=A025279100
OXO CAPSULES YUNG,medicine_showdetail.php?sn=A025301100
COSTAN TABLETS 20MG,medicine_showdetail.php?sn=A025304100
TRANEXMIN CAPSULES 250MG 'CHINTENG',medicine_showdetail.php?sn=A025316100
LICOTIN-A CAPSULES,medicine_showdetail.php?sn=A025349100
SOLACON TABLETS 200MG CHLORZOXAZONE 'STANDARD',medicine_showdetail.php?sn=A025402100
KONSHIEN CAPSULES 'YU SHENG',medicine_showdetail.php?sn=A025443100
NORUOLU TABLETS 5MG NORETHISTERONE,medicine_showdetail.php?sn=A025445100
PIROXIM CAPSULES 10MG PIROXICAM 'STANDARD',medicine_showdetail.php?sn=A025446100
HOWELL TABLETS 100M,medicine_showdetail.php?sn=A025456100
LEVAZOL TABLETS 40M,medicine_showdetail.php?sn=A025466100
LYZINE TABLETS 50MG,medicine_showdetail.php?sn=A025467100
MUSZEPIN TABLETS 25MG PIRENZEPINE HYDROCHLORIDE,medicine_showdetail.php?sn=A025471100
THECOUGHEN TABLETS,medicine_showdetail.php?sn=A025517100
VOREN ENTERIC COATED TABLETS 50MG 'YUNG SHIN,medicine_showdetail.php?sn=A025524100
KODERLIN TABLETS M,medicine_showdetail.php?sn=A025525100
REMEXIN TABLETS 'S.T.',medicine_showdetail.php?sn=A025547100
LORAZEPAM TABLETS 1MG 'C.S.',medicine_showdetail.php?sn=A025556100
PIREPINE TABLETS 25MG 'YU SHENG',medicine_showdetail.php?sn=A025564100
EPRANONE TABLETS 20,medicine_showdetail.php?sn=A025582100
LORAZEPAM TABLETS 1MG 'C.H.',medicine_showdetail.php?sn=A025586100
LYSOZYME CHLORIDE T,medicine_showdetail.php?sn=A025590100
EPRAZINONE TABLETS,medicine_showdetail.php?sn=A025601100
PITONIN CAPSULES 'CHEN TA',medicine_showdetail.php?sn=A025613100
CEFADROXIL CAPSULES,medicine_showdetail.php?sn=A025617100
PLOCON TABLETS 3MG 'Y.Y.' PIPRINHYDRINATE,medicine_showdetail.php?sn=A025624100
DICYCLOMINE TABLETS 10MG 'Y.Y.',medicine_showdetail.php?sn=A025629100
SIGAMET F.C. TABLET,medicine_showdetail.php?sn=A025643100
PRIMLAN TABLETS 10M,medicine_showdetail.php?sn=A025644100
CEFADROXIL CAPSULES 500MG S.T.,medicine_showdetail.php?sn=A025659100
ANTICON TABLETS 15M,medicine_showdetail.php?sn=A025688100
CODECON CAPSULES 'C.S.',medicine_showdetail.php?sn=A025692100
ANBEELOU CAPSULES 'Y.S.',medicine_showdetail.php?sn=A025699100
CEFADROXIL CAPSULES,medicine_showdetail.php?sn=A025711100
CIWIDINE TABLETS 20,medicine_showdetail.php?sn=A025714100
ERYTHROMYCIN STEARA,medicine_showdetail.php?sn=A025739100
PIROXICAM CAPSULES 10MG 'L.S.',medicine_showdetail.php?sn=A025740100
TRI-ZYME TABLETS S,medicine_showdetail.php?sn=A025778100
SINDELIN S.C. TABLE,medicine_showdetail.php?sn=A025806100
GOODGEN CAPSULES 10MG PIROXICAM 'PATRON',medicine_showdetail.php?sn=A025817100
SEIZYME TABLETS 60M,medicine_showdetail.php?sn=A025835100
ATENOL F.C. TABLETS 100MG ATENOLOL,medicine_showdetail.php?sn=A025840100
ASPIRIN CHEWABLE TABLETS 150MG FOR PEDIATRIC 'SINPHAR',medicine_showdetail.php?sn=A025848100
RESCO TABLETS 20MG,medicine_showdetail.php?sn=A025856100
AMOXICILLIN CAPSULE,medicine_showdetail.php?sn=A025866100
LIKANG CAPSULES 'TAI YU',medicine_showdetail.php?sn=A025887100
KODAPIN F.C. TABLET,medicine_showdetail.php?sn=A025905100
ANCOGEN TABLETS 'H.H.',medicine_showdetail.php?sn=A025925100
COEN TABLETS 20MG,medicine_showdetail.php?sn=A025937100
ACETIN CAPSULES 200,medicine_showdetail.php?sn=A025939100
DECAMIN TABLETS 4MG CYPROHEPTADINE HCL 'S.Y.',medicine_showdetail.php?sn=A025941100
NOFLAGMA TABLETS 90,medicine_showdetail.php?sn=A026007100
BININ F.C. TABLETS,medicine_showdetail.php?sn=A026025100
TRAXEMIN CAPSULES 250MG TRANEXAMIC ACID 'S.T.',medicine_showdetail.php?sn=A026026100
CINOPAL*F.C. TABLETS 200MG FENBUFEN,medicine_showdetail.php?sn=A026072100
BROMAZIN TABLETS 6MG BROMAZEPAM,medicine_showdetail.php?sn=A026079100
BROMAZIN TABLETS 3MG BROMAZEPAM,medicine_showdetail.php?sn=A026080100
NAPROXEN TABLETS 250MG,medicine_showdetail.php?sn=A026090100
GAWEI TABLETS 200MG,medicine_showdetail.php?sn=A026124100
TOLPERISONE TABLETS 100MG 'S.C.',medicine_showdetail.php?sn=A026138100
BUDEMA TABLETS 1MG BUMETANIDE S.T.,medicine_showdetail.php?sn=A026154100
ASPIRIN CAFFEINE TABLETS 'LITA',medicine_showdetail.php?sn=A026164100
AMPICILLIN CAPSULES,medicine_showdetail.php?sn=A026192100
AZUMOL TABLETS 2MG,medicine_showdetail.php?sn=A026209100
FLUNAZON CAPSULES 5,medicine_showdetail.php?sn=A026233100
FUTON E.C. TABLETS 25MG,medicine_showdetail.php?sn=A026256100
NOSCAPINE TABLETS 1,medicine_showdetail.php?sn=A026278100
TSUFONLOL TABLETS 'S.T.',medicine_showdetail.php?sn=A026299100
FUROKAN CAPSULES 20MG PIROXICAM,medicine_showdetail.php?sn=A026314100
A.H. BUTON TABLETS 500MG 'YU SHENG'ACETAMINOPHEN,medicine_showdetail.php?sn=A026323100
ANCOUGHRIN CAPSULES,medicine_showdetail.php?sn=A026327100
TRANEXAM TABLETS 250MG TRANEXAMIC ACID,medicine_showdetail.php?sn=A026330100
YOURGEN TABLETS,medicine_showdetail.php?sn=A026339100
BIMINING TABLETS Y,medicine_showdetail.php?sn=A026346100
WINCEF CAPSULES 500,medicine_showdetail.php?sn=A026356100
ANTIEXPECT TABLETS,medicine_showdetail.php?sn=A026390100
RELIZINE TABLETS 'S.C.',medicine_showdetail.php?sn=A026405100
ININ TABLETS 2MG 'YU SHENG',medicine_showdetail.php?sn=A026425100
ANPIN CAPSULES 15MG,medicine_showdetail.php?sn=A026442100
PIROXIM CAPSULES 20MG PIROXICAM 'STANDARD',medicine_showdetail.php?sn=A026461100
EPRACOUGH TABLETS 2,medicine_showdetail.php?sn=A026476100
DOGMATYL F.C. TABLETS 50MG SULPIRIDE,medicine_showdetail.php?sn=A026526100
KOUMIN TABLETS 2MG DEXCHLORPHENIRAMINE,medicine_showdetail.php?sn=A026549100
DELAMIN TABLETS 2MG DEXCHLORPHENIRAMINE MALEATE 'STANDARD',medicine_showdetail.php?sn=A026559100
TIBICAN TABLETS 500,medicine_showdetail.php?sn=A026583100
SPAGASGEL TABLETS,medicine_showdetail.php?sn=A026588100
NONANTICOLD S.C. TABLETS,medicine_showdetail.php?sn=A026595100
CARBO CAPSULES 375M,medicine_showdetail.php?sn=A026630100
RESPININE TABLETS 3,medicine_showdetail.php?sn=A026643100
DIFENA ENTERIC F.C. TABLETS 25MG DICLOFENAC 'STANDARD',medicine_showdetail.php?sn=A026653100
SULINDEC TABLETS 200MG 'S.T.',medicine_showdetail.php?sn=A026677100
SULIC TABLETS 200MG SULINDAC,medicine_showdetail.php?sn=A026679100
SULINDA TABLETS 100MG SULINDAC,medicine_showdetail.php?sn=A026683100
NAPOSIN TABLETS 500MG NAPROXEN,medicine_showdetail.php?sn=A026707100
TANNALBIN TABLETS 5,medicine_showdetail.php?sn=A026711100
MUCO CAPSULES 375MG,medicine_showdetail.php?sn=A026717100
NICE SUGAR COATED T,medicine_showdetail.php?sn=A026763100
BISLAN TABLETS 12MG,medicine_showdetail.php?sn=A026798100
SUNCHISU TABLETS 2.5MG FENOTEROL,medicine_showdetail.php?sn=A026805100
POLYWE TABLETS N.C,medicine_showdetail.php?sn=A026809100
PHYLLINTAL TABLETS,medicine_showdetail.php?sn=A026834100
BENDOL F.C. TABLETS,medicine_showdetail.php?sn=A026872100
MUCORPIN CAPSULES 3,medicine_showdetail.php?sn=A026922100
WINVITIN TABLETS W,medicine_showdetail.php?sn=A026954100
DOXEPIN CAPSULES 25MG 'S.C.',medicine_showdetail.php?sn=A026975100
DOGMATYL F.C. TABLETS 200MG SULPIRIDE,medicine_showdetail.php?sn=A026976100
PEACE TABLETS 'YUNG SHIN',medicine_showdetail.php?sn=A026984100
SUBELIN CAPSULES Y,medicine_showdetail.php?sn=A027001100
SWEET TABLETS 50MG SULPIRIDE,medicine_showdetail.php?sn=A027007100
THRONE ENTERIC SUGAR COATED TABLETS 100MG 'YUN G SHIN',medicine_showdetail.php?sn=A027011100
RECOUGH TABLETS 30M,medicine_showdetail.php?sn=A027024100
SINULIN CAPSULES,medicine_showdetail.php?sn=A027027100
DEX-CTM TABLETS 2MG 'S.Y.',medicine_showdetail.php?sn=A027040100
NASALCON TABLETS 'N.C.P.',medicine_showdetail.php?sn=A027060100
SUZYME TABLETS 90MG,medicine_showdetail.php?sn=A027068100
SECORIN CAPSULES 10MG OXAZOLAM 'STANDARD',medicine_showdetail.php?sn=A027082100
CEFAXIL CAPSULES 50,medicine_showdetail.php?sn=A027093100
ACETAMINOPHEN TABLETS 500MG 'YUNG CHI',medicine_showdetail.php?sn=A027102100
RHINOX CAPSULES 'SINPHAR',medicine_showdetail.php?sn=A027110100
FONING CAPUSLES 'UNION',medicine_showdetail.php?sn=A027131100
TON-PASS FILM COATED TABLETS 500MG MEFENAMIC ACID 'TAI YU',medicine_showdetail.php?sn=A027164100
GELUSIL PLUS TABLET,medicine_showdetail.php?sn=A027213100
LEUCOMYCIN CAPSULES,medicine_showdetail.php?sn=A027221100
TENGAM CAPSULES 'M.T.',medicine_showdetail.php?sn=A027236100
ANOPAIN TABLETS 30MG NEFOPAM 'GENTLE',medicine_showdetail.php?sn=A027254100
UPROFEN TABLETS 200MG IBUPROFEN,medicine_showdetail.php?sn=A027287100
CLOMIPHENE TABLET 5,medicine_showdetail.php?sn=A027338100
DITROPAN TABLETS 5M,medicine_showdetail.php?sn=A027361100
ARTINE TABLETS 2MG,medicine_showdetail.php?sn=A027374100
PRO FILM COATED TABLETS 200MG 'YUNG SHIN',medicine_showdetail.php?sn=A027418100
DARVINE TABLETS 1.34MG CLEMASTINE 'WEIDAR',medicine_showdetail.php?sn=A027432100
COTINOL TABLETS 'WEIDAR',medicine_showdetail.php?sn=A027433100
LOPAM TABLETS 1MG LORAZEPAM 'WEIDAR',medicine_showdetail.php?sn=A027436100
LOPAM TABLETS 1MG LORAZEPAM 'WEIDAR',medicine_showdetail.php?sn=A027436100
METHOCON TABLETS 30,medicine_showdetail.php?sn=A027437100
ISOBIDE TABLETS 10MG WEIDAR,medicine_showdetail.php?sn=A027438100
NEDIPIN CAPSULES 10MG NIFEDIPINE WEIDAR,medicine_showdetail.php?sn=A027439100
CARBOTIN CAPSULES 3,medicine_showdetail.php?sn=A027444100
SANDEL S.C. TABLETS 50MG DIPYRIDAMOLE WEIDAR,medicine_showdetail.php?sn=A027445100
SLOSAT TABLETS WEIDAR,medicine_showdetail.php?sn=A027448100
PROLAX TABLETS 250MG CHLORZOXAZONE 'WEIDAR',medicine_showdetail.php?sn=A027450100
SULORIL TABLETS 100MG SULINDAC 'WEIDAR',medicine_showdetail.php?sn=A027451100
ATENOL TABLETS 50MG ATENOLOL WEIDAR,medicine_showdetail.php?sn=A027452100
LIPOLAR CAPSULES 10,medicine_showdetail.php?sn=A027457100
BALUNA TAB. 350MG DIHYDROXY ALUMINUM SOD. CARBONATE,medicine_showdetail.php?sn=A027477100
KALIMINE-A.S.C. TABLETS 500MG UNION,medicine_showdetail.php?sn=A027492100
POULICAN CAPSULES,medicine_showdetail.php?sn=A027504100
TALCAN CAPSULES 'S.T.',medicine_showdetail.php?sn=A027505100
U-CLOR CAPSULES 250,medicine_showdetail.php?sn=A027513100
DOMETON TABLETS 200MG SULINDAC 'N.K.',medicine_showdetail.php?sn=A027520100
VIOMENT TABLETS VP,medicine_showdetail.php?sn=A027536100
SELADIN TABLETS 250MG NAPROXEN 'YUNG SHIN',medicine_showdetail.php?sn=A027558100
ZIMARON TABLETS 50MG BENZBROMARONE 'S.T.',medicine_showdetail.php?sn=A027568100
SOMIN TABLETS 2MG DEXCHLORPHENIRAMINE 'YUNG SHIN',medicine_showdetail.php?sn=A027569100
FUCOU CAPSULES H.H,medicine_showdetail.php?sn=A027598100
MYLANTA II TABLETS,medicine_showdetail.php?sn=A027615100
LICON S.C. TABLETS,medicine_showdetail.php?sn=A027658100
LOPID CAPSULES 300M,medicine_showdetail.php?sn=A027676100
CLODNIN TABLETS 25M,medicine_showdetail.php?sn=A027706100
DEPERMIDE S.C. TABLETS INDAPAMIDE,medicine_showdetail.php?sn=A027818100
LOWEN TABLETS 0.5MG LORAZEPAM 'C.C.P.',medicine_showdetail.php?sn=A027849100
LOWEN TABLETS 0.5MG LORAZEPAM 'C.C.P.',medicine_showdetail.php?sn=A027849100
FLUNAZINE TABLET 5M,medicine_showdetail.php?sn=A027887100
BENAMINE CAPSULES 50MG 'VPP',medicine_showdetail.php?sn=A027936100
BEESIX TABLETS 50MG PYRIDOXINE HCL 'VPP',medicine_showdetail.php?sn=A027940100
CLOMID TABLETS 50MG,medicine_showdetail.php?sn=A028013100
DICLOREN E.C. TABLETS 50MG DICLOFENAC 'WEIDAR',medicine_showdetail.php?sn=A028017100
DIMENHYDRINATE TABL,medicine_showdetail.php?sn=A028029100
SUCWAY TABLETS 500M,medicine_showdetail.php?sn=A028033100
PANALDINE F.C. TABLETS 100MG TICLOPIDINE,medicine_showdetail.php?sn=A028034100
AMIORONE TAB. 200MG AMIODARONE,medicine_showdetail.php?sn=A028041100
KYOPINAL F.C. TABLETS ALCLOFENAC,medicine_showdetail.php?sn=A028069100
SULPIN F.C. TABLETS 200MG SULPIRIDE 'S.T.',medicine_showdetail.php?sn=A028078100
BUSIX TABLETS 1.0MG BUMETANID S.T.,medicine_showdetail.php?sn=A028079100
LEBUFEN F.C. TABLETS 200MG FENBUFEN 'S.T.',medicine_showdetail.php?sn=A028080100
FLUFEN CAPSULES 125MG ALUMINUM FLUFENAMATE'P.L.',medicine_showdetail.php?sn=A028091100
ACETAMOL TABLETS 500MG ACETAMINOPHEN 'WEIDAR',medicine_showdetail.php?sn=A028098100
ALAT CAPSULES 5MG NIFEDIPINE YUNG SHIN,medicine_showdetail.php?sn=A028131100
IPG TABLETS 60MG I,medicine_showdetail.php?sn=A028133100
SELADIN TABLETS 500MG NAPROXEN 'YUNG SHIN',medicine_showdetail.php?sn=A028136100
KASTEINE TABLETS 37,medicine_showdetail.php?sn=A028142100
ANDIZA TABLETS 25MG,medicine_showdetail.php?sn=A028160100
LOPELA CAPSULES 2MG,medicine_showdetail.php?sn=A028218100
GLIBIDE TABLETS 5MG GLIBENCLAMIDE 'WEIDAR',medicine_showdetail.php?sn=A028245100
SUFUNI CAPSULES 5MG,medicine_showdetail.php?sn=A028283100
TEGANSIA TABLETS 40,medicine_showdetail.php?sn=A028318100
UPROFEN TABLETS 400MG IBUPROFEN,medicine_showdetail.php?sn=A028321100
GAIN-TONIN TABLETS,medicine_showdetail.php?sn=A028332100
LUCKYHEPA CAPSULES,medicine_showdetail.php?sn=A028333100
SEDES TABLETS,medicine_showdetail.php?sn=A028374100
BISOLVON TABLETS 8M,medicine_showdetail.php?sn=A028451100
BUSCOPAN S.C. TABLETS 10MG HYOSCINE-N-BUTYL BROMIDE,medicine_showdetail.php?sn=A028452100
MUCOSOLVAN TABLETS,medicine_showdetail.php?sn=A028453100
PERSANTIN S.C. TABLETS 25MG DIPYRIDAMOLE,medicine_showdetail.php?sn=A028454100
DOMPE TABLETS 10MG,medicine_showdetail.php?sn=A028461100
OS-CAL CAPSULES 250MG CALCIUM CARBONATE,medicine_showdetail.php?sn=A028468100
TRENTAL DRAGEE 400MG PENTOXIFYLLINE,medicine_showdetail.php?sn=A028470100
PANADOL TABLETS FOR CHILDREN 80MG ACETAMINOPHEN,medicine_showdetail.php?sn=A028474100
BEROTEC TABLETS 2.5MG FENOTEROL HYDROBROMIDE,medicine_showdetail.php?sn=A028501100
DULCOLAX E.S.C. TAB,medicine_showdetail.php?sn=A028503100
PERSANTIN S.C. TABLETS 75MG DIPYRIDAMOLE,medicine_showdetail.php?sn=A028507100
PLOTON TABLETS,medicine_showdetail.php?sn=A028517100
NOOBICA CAPSULES 40,medicine_showdetail.php?sn=A028533100
PYRUDOM TABLETS 500MG 'T.F.'ACETAMINOPHEN,medicine_showdetail.php?sn=A028610100
MEXITIL CAPSULES 100MG MEXILETINE HYDROCHLORIDE,medicine_showdetail.php?sn=A028614100
ECOZOL VAGINAL TABL,medicine_showdetail.php?sn=A028615500
TOEEFON CAPSULES 500MG 'T.F.' MEFENAMIC ACID,medicine_showdetail.php?sn=A028623100
KETIBRON CAPSULES 1MG KETOTIFEN 'WEIDAR',medicine_showdetail.php?sn=A028648100
SECORIN S.C.TABLET 10MG OXAZOLAM'STANDARD',medicine_showdetail.php?sn=A028649100
MEROLIN TABLETS 50MG MEBHYDROLINE'H.H.',medicine_showdetail.php?sn=A028779100
HALDOLIN TABLETS 5MG HALOPERIDOL 'WEIDAR',medicine_showdetail.php?sn=A028801100
PICETAM CAPSULES 40,medicine_showdetail.php?sn=A028921100
PHENOBARBITAL TABLETS 30MG 'U.L.',medicine_showdetail.php?sn=A028938100
CALCIUM CARBONATE TABLETS 500MG 'U.L.',medicine_showdetail.php?sn=A028939100
FENBUPOL TABLETS 200MG FENBUFEN,medicine_showdetail.php?sn=A028940100
METHYLEPHEDRINE HCL TABLETS 25MG 'U.L.',medicine_showdetail.php?sn=A028942100
AMINOPHYLLINE TABLE,medicine_showdetail.php?sn=A028945100
NEO-FLU CAPSULES,medicine_showdetail.php?sn=A028976100
DICLOFENAC SODIUM TABLETS 25MG 'S.C.',medicine_showdetail.php?sn=A029008100
METHYCOBAL CAPSULES 250UG MECOBALAMIN'EISAI',medicine_showdetail.php?sn=A029034100
RELAX CAPSULES,medicine_showdetail.php?sn=A029037100
POSIPIN CAPSULES 10MG N.K.NIFEDIPINE,medicine_showdetail.php?sn=A029059100
BROBEN S.C. TABLETS 400MG IBUPROFEN'Y.S.',medicine_showdetail.php?sn=A029080100
SOFTIN TABLETS 10MG,medicine_showdetail.php?sn=A029086100
TONFUL TABLETS,medicine_showdetail.php?sn=A029090100
BEHYD RA TABLETS,medicine_showdetail.php?sn=A029106100
KETOZOL TABLETS 200,medicine_showdetail.php?sn=A029139100
CEPHANMYCIN CAPSULE,medicine_showdetail.php?sn=A029172100
VITABUTYRIMIN TABLE,medicine_showdetail.php?sn=A029216100
FENSPIRIDE TABLETS,medicine_showdetail.php?sn=A029220100
FUCOLE COLD CAPSULES,medicine_showdetail.php?sn=A029226100
SERENIN TABLETS 10MG 'S.T.' OXAZOLAM,medicine_showdetail.php?sn=A029251100
LIDONIN E.C. TABLETS 50MG DICLOFENAC'TAI YU',medicine_showdetail.php?sn=A029252100
FINA TABLETS,medicine_showdetail.php?sn=A029255100
BETAPRESS TABLETS 100MG S.T. METOPROLOL,medicine_showdetail.php?sn=A029313100
AMIZIDE TABLETS STANDARD,medicine_showdetail.php?sn=A029320100
WEISDIN F.C. TABLET,medicine_showdetail.php?sn=A029327100
DICLAZIDE TABLETS 80MG 'WEIDAR' GLICLAZIDE,medicine_showdetail.php?sn=A029337100
FLAGYL ORAL TABLETS,medicine_showdetail.php?sn=A029345100
STACAINE TABLETS S,medicine_showdetail.php?sn=A029355100
MERISLON TABLETS 12,medicine_showdetail.php?sn=A029356100
THIAMCOL CAPSULES 2,medicine_showdetail.php?sn=A029371100
CAMAPINE TABLETS 200MG 'P.L.' CARBAMAZEPINE,medicine_showdetail.php?sn=A029375100
SUMOFEN E.C. TABLETS 50MG DICLOFENAC,medicine_showdetail.php?sn=A029378100
PIECHAN TABLETS T.,medicine_showdetail.php?sn=A029418100
PERSANTIN S.C. TABLETS 50MG DIPYRIDAMOLE,medicine_showdetail.php?sn=A029432100
SINDIPINE MICROENCAPSULATED CAPSULE 10MG NIFEDIPINE Y.S.,medicine_showdetail.php?sn=A029436100
FENSCIN TABLETS 40M,medicine_showdetail.php?sn=A029437100
FUNAZINE TABLETS 10,medicine_showdetail.php?sn=A029440100
AMANDIN CAPSULES 10,medicine_showdetail.php?sn=A029442100
TENOL TABLETS 100MG Y.S. ATENOLOL,medicine_showdetail.php?sn=A029443100
METISONE TABLETS 2MG 'S.T.' METHYLPREDNISOLONE,medicine_showdetail.php?sn=A029465100
LUTIN R CAPSULES 10MG OXAZOLAM,medicine_showdetail.php?sn=A029476100
UROSIN FILM COATED TABLETS 100MG ATENOLOL,medicine_showdetail.php?sn=A029478100
DACOTON CAPSULES 65,medicine_showdetail.php?sn=A029486100
BROPAN TABLETS 3MG 'GENTLE' BROMAZEPAM,medicine_showdetail.php?sn=A029503100
BACCIDAL F.C. TABLE,medicine_showdetail.php?sn=A029510100
MANLSUN CAPSULES 30MG FLURAZEPAM,medicine_showdetail.php?sn=A029511100
YUPIN CAPSULES 10MG OXAZOLAM 'YU SHENG',medicine_showdetail.php?sn=A029551100
OXY TABLETS 100MG,medicine_showdetail.php?sn=A029562100
SUZIN CAPSULES 5MG,medicine_showdetail.php?sn=A029572100
SUZIN CAPSULES 10MG,medicine_showdetail.php?sn=A029575100
SERELAM CAPSULES 10MG OXAZOLAM'WEIDAR',medicine_showdetail.php?sn=A029576100
OS-CAL TABLETS 500MG,medicine_showdetail.php?sn=A029580100
DICENS TABLETS 50MG DICLOFENAC,medicine_showdetail.php?sn=A029581100
ZECO TABLETS 100MG,medicine_showdetail.php?sn=A029594100
U-SAVE CAPSULES 250,medicine_showdetail.php?sn=A029599100
PREDNISOLONE TABLETS 5MG,medicine_showdetail.php?sn=A029601100
UROXATE TABLETS 200,medicine_showdetail.php?sn=A029617100
LACEF CAPSULES 500M,medicine_showdetail.php?sn=A029623100
FLUENCY R CAPSULES,medicine_showdetail.php?sn=A029625100
TINIDAZOLE FILM COA,medicine_showdetail.php?sn=A029627100
METHYCOBAL R CAPSULES 500UG 'EISAI' MECOBALAMIN,medicine_showdetail.php?sn=A029630100
CINNARIZINE TABLETS 'YUNG SHIN',medicine_showdetail.php?sn=A029635100
ULOSINA CAPSULES E,medicine_showdetail.php?sn=A029697100
BECAME TABLETS,medicine_showdetail.php?sn=A029727100
YUCOMY TABLETS 200M,medicine_showdetail.php?sn=A029730100
TIATENOL TABLETS 100MG T.F. ATENOLOL,medicine_showdetail.php?sn=A029735100
A.A.C. TABLETS,medicine_showdetail.php?sn=A029740100
FOCUS CAPSULES 10MG PIROXICAM,medicine_showdetail.php?sn=A029747100
ALLERGEN TABLETS 50MG 'S.T.' MEBHYDROLIN,medicine_showdetail.php?sn=A029752100
STONE TABLETS 500MG 'S.T.' MEFENAMIC ACID,medicine_showdetail.php?sn=A029753100
MUSOLIN TABLETS 'S.T.',medicine_showdetail.php?sn=A029754100
KETAZOLE TABLETS 20,medicine_showdetail.php?sn=A029774100
ERGOMETRINE TABLETS 0.2MG 'YUNG SHIN',medicine_showdetail.php?sn=A029784100
MULER TABLETS 200MG FENBUFEN 'GENTLE',medicine_showdetail.php?sn=A029793100
SENTA TABLETS 250MG DIFLUNISAL'GENTLE',medicine_showdetail.php?sn=A029794100
ENZIL TABLETS 100MG,medicine_showdetail.php?sn=A029796100
CIWEI TABLETS 200MG,medicine_showdetail.php?sn=A029797100
CIWEI TABLETS 400MG,medicine_showdetail.php?sn=A029798100
SHPYNJA TABLETS C.M.,medicine_showdetail.php?sn=A029804100
DEURON TABLETS 50MG 'YU SHENG' BENZBROMARONE,medicine_showdetail.php?sn=A029805100
KASCOAL TABLETS 40M,medicine_showdetail.php?sn=A029828100
SHIKENUOH TABLETS 500MG 'HS',medicine_showdetail.php?sn=A029863100
NOSPAN TABLETS 30MG,medicine_showdetail.php?sn=A029905100
NOSPAN R TABLETS,medicine_showdetail.php?sn=A029906100
NYSTATIN CAPSULES,medicine_showdetail.php?sn=A029912100
KASCOAL TABLETS 50M,medicine_showdetail.php?sn=A029917100
MALENATE TABLETS 4MG CHLORPHENIRAMINE MALEATE 'HS',medicine_showdetail.php?sn=A029937100
DOTIDONE TABLETS 10MG DOMPERIDONECURIL,medicine_showdetail.php?sn=A029951100
MIDE TABLETS 500MG PYRAZINAMIDE'WINSTON',medicine_showdetail.php?sn=A029961100
DOMPEDON F.C. TAB.,medicine_showdetail.php?sn=A029987100
LICODYNE TABLETS 37,medicine_showdetail.php?sn=A029988100
NICOGUS TABLETS 200,medicine_showdetail.php?sn=A030057100
POTARLON FILM COATED TABLETS 500MG MEFENAMIC ACID,medicine_showdetail.php?sn=A030119100
CINTSU SUGAR COATED TABLETS 40MG VERAPAMILYUNG SHIN,medicine_showdetail.php?sn=A030120100
KMT TABLETS,medicine_showdetail.php?sn=A030121100
POTARLON CAPSULES 250MG MEFENAMIC ACID,medicine_showdetail.php?sn=A030122100
AMANDA F.C. TABLETS,medicine_showdetail.php?sn=A030257100
CHLORPHENIRAMINE MALEATE TABLETS 'M.T.',medicine_showdetail.php?sn=A030304100
VEKAIN TABLETS R,medicine_showdetail.php?sn=A030319100
NEKMIN TABLETS 4MG CYPROHETADINE HCL 'N.W.',medicine_showdetail.php?sn=A030323100
TRANSAMIN TABLETS 500MG,medicine_showdetail.php?sn=A030331100
COLCHICINE TABLETS 0.5MG 'SHIONOGE',medicine_showdetail.php?sn=A030396100
CAPOMIL TABLETS 25MG CAPTOPRILWEIDAR,medicine_showdetail.php?sn=A030452100
IBUPROFEN FILM COATED TABLETS 400MG 'YUNG SHIN',medicine_showdetail.php?sn=A030466100
ASUMALIFE CAPSULES 1MG KETOTIFEN,medicine_showdetail.php?sn=A030467100
DIAZEPAM TABLETS 2MG 'YUNG SHIN',medicine_showdetail.php?sn=A030507100
DIAZEPAM TABLETS 5MG 'YUNG SHIN',medicine_showdetail.php?sn=A030510100
DIAMICRON GLICLAZIDE TABLETS 80MG 'VPP',medicine_showdetail.php?sn=A030512100
MORESAFE TABLETS 5MG ALLYLESTRENOL,medicine_showdetail.php?sn=A030513100
SPIRONOLACTONE TABLETS ROYAL,medicine_showdetail.php?sn=A030526100
UT TABLETS 50MG BENZBROMARONE 'P.L.',medicine_showdetail.php?sn=A030533100
ANTIFLAN E.S.C. TAB,medicine_showdetail.php?sn=A030549100
SERADASE E.C. TABLE,medicine_showdetail.php?sn=A030572100
TARIVID FILM COATED,medicine_showdetail.php?sn=A030573100
THIOPHENICOL F.C. T,medicine_showdetail.php?sn=A030581100
WECON-II CHEWABLE T,medicine_showdetail.php?sn=A030586100
TEGOL TABLETS 200MG CARBAMAZEPINE 'YU SHENG',medicine_showdetail.php?sn=A030587100
KOZEN E.C. TABLETS,medicine_showdetail.php?sn=A030594100
MAMICON CAPSULES 1MG 'PATRON' KETOTIFEN,medicine_showdetail.php?sn=A030605100
ESIDRI S.C. TABLETS R,medicine_showdetail.php?sn=A030607100
INROLIN TABLETS 50MG MEBBYDROLINE 'YU SHENG',medicine_showdetail.php?sn=A030610100
KATIFEN TABLETS 1MG KETOTIFEN 'YU SHENG',medicine_showdetail.php?sn=A030611100
SULINTON TABLETS 200MG SULINDAC'Y.S.',medicine_showdetail.php?sn=A030612100
DOPERAN CAPSULES 40,medicine_showdetail.php?sn=A030614100
BROMAZAEPAM TABLETSBROMAZEPAM,medicine_showdetail.php?sn=A030618100
D.M.P. TABLETS DOM,medicine_showdetail.php?sn=A030619100
